application_id,company,role,type,date_applied,status,follow_up_date,response_date,platform,location,remote,salary_min,salary_max,resume_version,cover_letter,referral,interview_rounds,notes
APP001,Google,Software Engineering Intern,Internship,2024-01-05,Rejected,2024-01-19,2024-02-01,LinkedIn,Mountain View CA,Yes,7000,9000,v2,Yes,No,1,Phone screen only
APP002,Naver,Backend Developer,Full-time,2024-01-08,Offer,2024-01-22,2024-02-10,Company Website,Seongnam,No,4500000,5500000,v3,Yes,Yes,4,Accepted offer
APP003,Kakao,Data Analyst Intern,Internship,2024-01-10,Interview,2024-01-24,2024-01-28,Wanted,Seoul,Yes,2500000,3000000,v2,No,No,2,Final round scheduled
APP004,Line,Frontend Engineer,Full-time,2024-01-12,Applied,2024-01-26,,LinkedIn,Seoul,Yes,4000000,5000000,v3,Yes,No,0,
APP005,Coupang,ML Engineer Intern,Internship,2024-01-15,Ghosted,2024-01-29,,Jumpit,Seoul,No,2800000,3200000,v1,No,No,0,No response after 3 weeks
APP006,Samsung SDS,Systems Engineer,Full-time,2024-01-17,Rejected,2024-01-31,2024-02-05,Company Website,Suwon,No,4200000,5200000,v2,Yes,No,2,Technical round failed
APP007,Krafton,Game Backend Intern,Internship,2024-01-20,Interview,2024-02-03,2024-02-06,Wanted,Seoul,No,2600000,3000000,v3,Yes,No,3,HR round passed
APP008,Toss,iOS Developer,Full-time,2024-01-22,Applied,2024-02-05,,LinkedIn,Seoul,Yes,4500000,5500000,v3,Yes,Yes,0,
APP009,Hyundai AutoEver,DevOps Intern,Internship,2024-01-25,Offer,2024-02-08,2024-02-15,Company Website,Seoul,No,2400000,2800000,v2,No,No,3,Declined due to location
APP010,SK Telecom,Cloud Engineer,Full-time,2024-01-28,Rejected,2024-02-11,2024-02-20,Jumpit,Seoul,Yes,4800000,6000000,v3,Yes,No,1,Cultural fit mismatch
APP011,Amazon,SDE Intern,Internship,2024-02-01,Interview,2024-02-15,2024-02-18,LinkedIn,Seoul,Yes,7500000,9000000,v3,Yes,No,2,OA passed
APP012,Microsoft,PM Intern,Internship,2024-02-03,Applied,2024-02-17,,LinkedIn,Seoul,Yes,6000000,7500000,v2,Yes,No,0,
APP013,Dunamu,Blockchain Dev,Full-time,2024-02-05,Ghosted,2024-02-19,,Jumpit,Seoul,Yes,4500000,5500000,v2,No,No,0,
APP014,Zigbang,Data Engineer,Full-time,2024-02-07,Rejected,2024-02-21,2024-03-01,Wanted,Seoul,No,4000000,4800000,v3,Yes,No,1,
APP015,Carrot Market,Product Designer,Full-time,2024-02-10,Interview,2024-02-24,2024-02-27,LinkedIn,Seoul,Yes,3800000,4500000,v1,Yes,Yes,2,Portfolio review done
APP016,Krafton,Data Scientist,Full-time,2024-02-12,Applied,2024-02-26,,Wanted,Seoul,No,5000000,6000000,v3,No,No,0,
APP017,LG CNS,Cloud Intern,Internship,2024-02-14,Offer,2024-02-28,2024-03-05,Company Website,Seoul,No,2200000,2600000,v2,Yes,No,3,Considering
APP018,Kakao Brain,AI Researcher Intern,Internship,2024-02-17,Rejected,2024-03-02,2024-03-10,Company Website,Pangyo,Yes,3000000,3600000,v3,Yes,No,2,
APP019,Hyundai Motor,Software Intern,Internship,2024-02-20,Applied,2024-03-05,,Company Website,Seoul,No,2500000,3000000,v2,No,No,0,
APP020,KakaoBank,Backend Intern,Internship,2024-02-22,Ghosted,2024-03-07,,LinkedIn,Seoul,Yes,2800000,3400000,v2,Yes,No,0,
APP021,Naver Webtoon,Frontend Intern,Internship,2024-02-25,Interview,2024-03-10,2024-03-13,Wanted,Seongnam,Yes,2600000,3100000,v3,Yes,Yes,1,
APP022,Nexon,Game Client Dev,Full-time,2024-02-27,Rejected,2024-03-12,2024-03-18,Jumpit,Seongnam,No,4500000,5500000,v3,Yes,No,3,
APP023,Coupang Eats,DevOps Engineer,Full-time,2024-03-01,Applied,2024-03-15,,LinkedIn,Seoul,Yes,4800000,5800000,v3,Yes,No,0,
APP024,Kakao Mobility,Backend Engineer,Full-time,2024-03-03,Offer,2024-03-17,2024-03-22,Company Website,Seoul,Yes,5000000,6000000,v3,Yes,Yes,4,Best offer so far
APP025,SK Hynix,Systems SW,Full-time,2024-03-05,Applied,2024-03-19,,Company Website,Icheon,No,4500000,5200000,v2,No,No,0,
APP026,LINE Games,Unity Developer,Full-time,2024-03-08,Rejected,2024-03-22,2024-03-28,Wanted,Seoul,No,4200000,5000000,v1,Yes,No,1,
APP027,Viva Republica,ML Ops,Full-time,2024-03-10,Interview,2024-03-24,2024-03-27,LinkedIn,Seoul,Yes,5000000,6200000,v3,Yes,Yes,3,
APP028,Krafton,QA Intern,Internship,2024-03-12,Applied,2024-03-26,,Jumpit,Seoul,No,2200000,2700000,v2,No,No,0,
APP029,Samsung Research,AI Intern,Internship,2024-03-14,Interview,2024-03-28,2024-04-01,Company Website,Seoul,No,3000000,3600000,v3,Yes,No,2,
APP030,Kakao,SRE,Full-time,2024-03-17,Ghosted,2024-03-31,,Wanted,Seoul,Yes,5000000,6000000,v2,Yes,No,0,
